lap_no,position,driver_no,lap_time,lap_time_sec,gap
26,6,55,1:40.522,100.522,PIT
26,7,88,1:37.742,97.742,1 LAP
26,8,3,1:37.431,97.431,53.532
26,9,10,1:35.386,95.386,65.135
26,10,18,1:34.713,94.713,67.334
26,11,26,1:38.486,98.486,70.740
26,12,27,1:37.673,97.673,70.829
26,13,11,1:36.044,96.044,71.174
26,14,16,1:53.364,113.364,75.320
26,15,8,1:35.749,95.749,84.754
26,16,99,1:36.106,96.106,87.120
26,17,7,1:36.061,96.061,89.001
26,18,20,1:36.431,96.431,90.714
27,1,77,1:34.002,94.002,
27,2,4,1:58.225,118.225,1 LAP
27,3,5,1:33.421,93.421,10.751
27,4,44,1:33.028,93.028,18.388
27,5,63,1:57.869,117.869,1 LAP
27,6,23,1:34.305,94.305,39.953
27,7,88,1:38.261,98.261,1 LAP
27,8,3,1:37.328,97.328,56.858
27,9,55,1:54.282,114.282,63.362
27,10,10,1:35.659,95.659,66.792
27,11,18,1:35.115,95.115,68.447
27,12,27,1:34.928,94.928,71.755
27,13,11,1:35.644,95.644,72.816
27,14,16,1:33.687,93.687,75.005
27,15,26,1:42.118,102.118,PIT
27,16,8,1:35.546,95.546,86.298
27,17,99,1:36.136,96.136,89.254
27,18,7,1:35.870,95.87,90.869
27,19,20,1:36.402,96.402,93.114
28,1,77,1:33.582,93.582,
28,2,4,1:34.756,94.756,1 LAP
28,3,5,1:33.699,93.699,10.868
28,4,44,1:32.824,92.824,17.630
28,5,63,1:35.458,95.458,1 LAP
28,6,23,1:34.406,94.406,40.777
28,7,88,1:38.277,98.277,1 LAP
28,8,3,1:37.491,97.491,60.767
28,9,55,1:34.646,94.646,64.426
28,10,10,1:35.464,95.464,68.674
28,11,18,1:35.322,95.322,70.187
28,12,27,1:35.096,95.096,73.269
28,13,11,1:35.017,95.017,74.251
28,14,16,1:33.973,93.973,75.396
28,15,8,1:35.773,95.773,88.489
28,16,99,1:35.971,95.971,91.643
29,1,77,1:33.420,93.42,
29,2,7,1:37.930,97.93,1 LAP
29,3,20,1:37.846,97.846,1 LAP
29,4,4,1:35.207,95.207,1 LAP
29,5,26,1:55.952,115.952,1 LAP
29,6,5,1:34.033,94.033,11.481
29,7,44,1:32.800,92.8,17.010
29,8,63,1:35.603,95.603,1 LAP
29,9,23,1:34.496,94.496,41.853
29,10,88,1:38.620,98.62,1 LAP
29,11,55,1:34.604,94.604,65.610
29,12,3,1:40.221,100.221,PIT
29,13,10,1:35.452,95.452,70.706
29,14,18,1:35.750,95.75,72.517
29,15,27,1:35.116,95.116,74.965
29,16,11,1:34.881,94.881,75.712
29,17,16,1:34.248,94.248,76.224
29,18,8,1:35.696,95.696,90.765
30,1,77,1:34.530,94.53,
30,2,99,1:37.245,97.245,1 LAP
30,3,7,1:35.640,95.64,1 LAP
30,4,20,1:36.190,96.19,1 LAP
30,5,4,1:36.078,96.078,1 LAP
30,6,26,1:34.228,94.228,1 LAP
30,7,5,1:33.714,93.714,10.665
30,8,44,1:32.738,92.738,15.218
30,9,63,1:35.626,95.626,1 LAP
30,10,23,1:34.501,94.501,41.824
30,11,55,1:34.975,94.975,66.055
30,12,88,1:39.546,99.546,1 LAP
30,13,10,1:35.549,95.549,71.725
30,14,18,1:35.758,95.758,73.745
30,15,27,1:35.273,95.273,75.708
30,16,16,1:34.724,94.724,76.418
30,17,11,1:36.033,96.033,77.215
30,18,3,1:54.884,114.884,87.922
30,19,8,1:35.909,95.909,92.144
31,1,77,1:33.450,93.45,
31,2,99,1:35.932,95.932,1 LAP
31,3,7,1:36.031,96.031,1 LAP
31,4,20,1:36.169,96.169,1 LAP
31,5,4,1:36.062,96.062,1 LAP
31,6,26,1:35.324,95.324,1 LAP
31,7,44,1:33.025,93.025,14.793
31,8,5,1:37.594,97.594,PIT
31,9,63,1:35.741,95.741,1 LAP
31,10,23,1:34.512,94.512,42.886
31,11,55,1:34.614,94.614,67.219
31,12,88,1:38.553,98.553,1 LAP
31,13,10,1:36.125,96.125,74.400
31,14,18,1:35.698,95.698,75.993
31,15,16,1:34.949,94.949,77.917
31,16,27,1:36.431,96.431,78.689
31,17,11,1:35.868,95.868,79.633
31,18,3,1:34.297,94.297,88.769
32,1,77,1:33.909,93.909,
32,2,8,1:37.916,97.916,1 LAP
32,3,99,1:36.011,96.011,1 LAP
32,4,7,1:35.684,95.684,1 LAP
32,5,4,1:34.116,94.116,1 LAP
32,6,26,1:35.133,95.133,1 LAP
32,7,20,1:37.943,97.943,1 LAP
32,8,44,1:32.513,92.513,13.397
32,9,5,1:52.791,112.791,33.691
32,10,63,1:36.961,96.961,1 LAP
32,11,23,1:34.325,94.325,43.302
32,12,55,1:34.220,94.22,67.530
32,13,10,1:35.470,95.47,75.961
32,14,18,1:35.597,95.597,77.681
32,15,16,1:34.194,94.194,78.202
32,16,27,1:35.339,95.339,80.119
32,17,11,1:35.259,95.259,80.983
32,18,88,1:43.629,103.629,1 LAP
32,19,3,1:34.112,94.112,88.972
33,1,77,1:33.166,93.166,
33,2,8,1:35.836,95.836,1 LAP
33,3,99,1:35.891,95.891,1 LAP
33,4,7,1:36.193,96.193,1 LAP
33,5,4,1:35.189,95.189,1 LAP
33,6,26,1:34.777,94.777,1 LAP
33,7,44,1:33.065,93.065,13.296
33,8,20,1:38.538,98.538,1 LAP
33,9,5,1:32.192,92.192,32.717
33,10,63,1:35.940,95.94,1 LAP
33,11,23,1:34.352,94.352,44.488
33,12,55,1:34.623,94.623,68.987
33,13,10,1:35.637,95.637,78.432
33,14,16,1:34.022,94.022,79.058
33,15,18,1:36.182,96.182,80.697
33,16,27,1:35.377,95.377,82.330
33,17,11,1:35.698,95.698,83.515
33,18,88,1:38.398,98.398,1 LAP
33,19,3,1:34.124,94.124,89.930
34,1,77,1:33.185,93.185,
34,2,8,1:35.935,95.935,1 LAP
34,3,99,1:35.979,95.979,1 LAP
34,4,7,1:36.634,96.634,1 LAP
34,5,4,1:36.276,96.276,1 LAP
34,6,44,1:34.503,94.503,14.614
34,7,26,1:36.754,96.754,1 LAP
34,8,20,1:36.577,96.577,1 LAP
34,9,5,1:32.405,92.405,31.937
34,10,63,1:35.977,95.977,1 LAP
34,11,23,1:36.582,96.582,PIT
34,12,55,1:34.623,94.623,70.425
34,13,16,1:35.362,95.362,81.235
34,14,10,1:36.889,96.889,82.136
34,15,18,1:35.807,95.807,83.319
34,16,27,1:35.324,95.324,84.469
34,17,11,1:35.297,95.297,85.627
34,18,3,1:34.303,94.303,91.048
35,1,77,1:34.021,94.021,
35,2,88,1:43.586,103.586,PIT
35,3,8,1:35.918,95.918,1 LAP
35,4,99,1:36.363,96.363,1 LAP
35,5,44,1:33.224,93.224,13.817
35,6,4,1:35.882,95.882,1 LAP
35,7,26,1:35.666,95.666,1 LAP
35,8,7,1:38.548,98.548,1 LAP
35,9,20,1:36.576,96.576,1 LAP
35,10,5,1:32.609,92.609,30.525
35,11,63,1:35.780,95.78,1 LAP
35,12,23,1:53.575,113.575,67.439
35,13,55,1:34.413,94.413,70.817
35,14,16,1:33.160,93.16,80.374
35,15,10,1:35.739,95.739,83.854
35,16,18,1:35.751,95.751,85.049
35,17,27,1:35.560,95.56,86.008
35,18,11,1:35.278,95.278,86.884
35,19,3,1:34.254,94.254,91.281
36,1,77,1:35.853,95.853,PIT
36,2,8,1:35.913,95.913,1 LAP
36,3,44,1:32.540,92.54,10.504
36,4,99,1:36.919,96.919,1 LAP
36,5,4,1:35.326,95.326,1 LAP
36,6,26,1:34.912,94.912,1 LAP
36,7,7,1:36.925,96.925,1 LAP
36,8,20,1:35.950,95.95,1 LAP
36,9,88,1:57.831,117.831,2 LAPS
36,10,5,1:32.937,92.937,27.609
36,11,63,1:35.795,95.795,1 LAP
36,12,23,1:32.775,92.775,64.361
36,13,55,1:34.197,94.197,69.161
36,14,16,1:32.794,92.794,77.315
36,15,10,1:35.700,95.7,83.701
36,16,18,1:35.599,95.599,84.795
36,17,27,1:35.497,95.497,85.652
36,18,11,1:35.474,95.474,86.505
36,19,3,1:34.649,94.649,90.077
37,1,44,1:32.551,92.551,
37,2,8,1:37.434,97.434,1 LAP
37,3,99,1:35.594,95.594,1 LAP
37,4,4,1:35.158,95.158,1 LAP
37,5,26,1:34.997,94.997,1 LAP
37,6,77,1:52.033,112.033,8.978
37,7,7,1:39.631,99.631,PIT
37,8,20,1:36.032,96.032,1 LAP
37,9,5,1:32.820,92.82,17.374
37,10,88,1:38.179,98.179,2 LAPS
37,11,63,1:36.250,96.25,1 LAP
37,12,23,1:33.399,93.399,54.705
37,13,55,1:33.864,93.864,59.970
37,14,16,1:32.785,92.785,67.045
37,15,10,1:35.486,95.486,76.132
37,16,18,1:35.436,95.436,77.176
37,17,27,1:35.235,95.235,77.832
37,18,11,1:35.473,95.473,78.923
37,19,3,1:34.713,94.713,81.735
38,1,44,1:32.605,92.605,
38,2,8,1:36.001,96.001,1 LAP
38,3,77,1:32.565,92.565,8.938
38,4,99,1:37.440,97.44,1 LAP
38,5,4,1:37.283,97.283,1 LAP
38,6,26,1:36.797,96.797,1 LAP
38,7,5,1:32.122,92.122,16.891
38,8,20,1:37.338,97.338,1 LAP
38,9,88,1:36.345,96.345,2 LAPS
38,10,7,1:53.786,113.786,1 LAP
38,11,63,1:37.624,97.624,1 LAP
38,12,23,1:33.583,93.583,55.683
38,13,55,1:33.789,93.789,61.154
38,14,16,1:33.293,93.293,67.733
38,15,10,1:35.498,95.498,79.025
38,16,18,1:35.568,95.568,80.139
38,17,27,1:35.508,95.508,80.735
38,18,11,1:35.609,95.609,81.927
38,19,3,1:34.669,94.669,83.799
39,1,44,1:32.646,92.646,
39,2,77,1:32.894,92.894,9.186
39,3,8,1:37.986,97.986,1 LAP
39,4,4,1:34.529,94.529,1 LAP
39,5,26,1:36.034,96.034,1 LAP
39,6,99,1:38.080,98.08,1 LAP
39,7,5,1:33.351,93.351,17.596
39,8,20,1:36.103,96.103,1 LAP
39,9,88,1:37.112,97.112,2 LAPS
39,10,7,1:33.360,93.36,1 LAP
39,11,63,1:36.087,96.087,1 LAP
39,12,23,1:33.570,93.57,56.607
39,13,55,1:33.804,93.804,62.312
39,14,16,1:33.311,93.311,68.398
39,15,10,1:35.395,95.395,81.774
39,16,18,1:35.416,95.416,82.909
39,17,27,1:35.564,95.564,83.653
39,18,11,1:35.728,95.728,85.009
39,19,3,1:34.658,94.658,85.811
40,1,44,1:32.841,92.841,
40,2,77,1:32.656,92.656,9.001
40,3,8,1:36.185,96.185,1 LAP
40,4,4,1:35.731,95.731,1 LAP
40,5,5,1:33.495,93.495,18.250
40,6,26,1:36.231,96.231,1 LAP
40,7,99,1:37.274,97.274,1 LAP
40,8,20,1:36.226,96.226,1 LAP
40,9,88,1:37.649,97.649,2 LAPS
40,10,7,1:33.543,93.543,1 LAP
40,11,63,1:36.549,96.549,1 LAP
40,12,23,1:33.644,93.644,57.410
40,13,55,1:33.608,93.608,63.079
40,14,16,1:33.579,93.579,69.136
40,15,10,1:35.330,95.33,84.263
40,16,18,1:35.312,95.312,85.380
40,17,27,1:35.318,95.318,86.130
40,18,11,1:35.295,95.295,87.463
40,19,3,1:34.885,94.885,87.855
41,1,44,1:33.097,93.097,
41,2,77,1:32.484,92.484,8.388
41,3,5,1:33.350,93.35,18.503
41,4,4,1:35.356,95.356,1 LAP
41,5,26,1:35.727,95.727,1 LAP
41,6,8,1:40.359,100.359,1 LAP
41,7,99,1:36.398,96.398,1 LAP
41,8,20,1:35.927,95.927,1 LAP
41,9,7,1:34.553,94.553,1 LAP
41,10,88,1:38.871,98.871,2 LAPS
41,11,63,1:36.591,96.591,1 LAP
41,12,23,1:33.717,93.717,58.030
41,13,55,1:33.708,93.708,63.690
41,14,16,1:33.573,93.573,69.612
41,15,10,1:35.500,95.5,86.666
41,16,18,1:35.449,95.449,87.732
41,17,27,1:35.318,95.318,88.351
41,18,3,1:34.366,94.366,89.124
41,19,11,1:38.643,98.643,PIT
42,1,44,1:35.867,95.867,PIT
42,2,77,1:32.494,92.494,5.015
42,3,5,1:32.361,92.361,14.997
42,4,4,1:34.746,94.746,1 LAP
42,5,26,1:34.883,94.883,1 LAP
42,6,8,1:36.750,96.75,1 LAP
42,7,99,1:36.821,96.821,1 LAP
42,8,20,1:36.209,96.209,1 LAP
42,9,7,1:33.908,93.908,1 LAP
42,10,88,1:37.620,97.62,2 LAPS
42,11,63,1:36.034,96.034,1 LAP
42,12,23,1:33.640,93.64,55.803
42,13,55,1:33.592,93.592,61.415
42,14,16,1:33.471,93.471,67.216
42,15,10,1:35.322,95.322,86.121
42,16,18,1:35.396,95.396,87.261
42,17,27,1:35.350,95.35,87.834
42,18,3,1:35.067,95.067,88.324
43,1,77,1:32.333,92.333,
43,2,5,1:32.733,92.733,10.382
43,3,11,1:52.784,112.784,1 LAP
43,4,44,1:52.303,112.303,14.955
43,5,4,1:36.368,96.368,1 LAP
43,6,26,1:34.970,94.97,1 LAP
43,7,8,1:36.130,96.13,1 LAP
43,8,99,1:36.014,96.014,1 LAP
43,9,20,1:36.150,96.15,1 LAP
43,10,7,1:34.245,94.245,1 LAP
43,11,88,1:37.438,97.438,2 LAPS
43,12,63,1:36.166,96.166,1 LAP
43,13,23,1:33.735,93.735,52.190
43,14,55,1:33.677,93.677,57.744
43,15,16,1:33.858,93.858,63.726
43,16,10,1:35.321,95.321,84.094
43,17,18,1:35.345,95.345,85.258
43,18,27,1:35.316,95.316,85.802
43,19,3,1:35.199,95.199,86.175
44,1,77,1:32.204,92.204,
44,2,5,1:32.701,92.701,10.879
44,3,11,1:33.336,93.336,1 LAP
44,4,44,1:31.538,91.538,14.289
44,5,4,1:34.428,94.428,1 LAP
44,6,26,1:34.172,94.172,1 LAP
44,7,8,1:35.918,95.918,1 LAP
44,8,99,1:36.104,96.104,1 LAP
44,9,20,1:35.959,95.959,1 LAP
44,10,7,1:34.884,94.884,1 LAP
44,11,88,1:36.495,96.495,2 LAPS
44,12,23,1:33.497,93.497,53.483
44,13,63,1:38.643,98.643,1 LAP
44,14,55,1:33.741,93.741,59.281
44,15,16,1:33.799,93.799,65.321
44,16,10,1:35.484,95.484,87.374
44,17,3,1:35.337,95.337,89.308
44,18,18,1:36.306,96.306,89.360
44,19,27,1:36.483,96.483,90.081
45,1,77,1:32.409,92.409,
45,2,5,1:32.504,92.504,10.974
45,3,44,1:30.983,90.983,12.863
45,4,11,1:33.560,93.56,1 LAP
45,5,4,1:34.515,94.515,1 LAP
45,6,26,1:34.370,94.37,1 LAP
45,7,8,1:36.802,96.802,1 LAP
45,8,99,1:35.842,95.842,1 LAP
45,9,20,1:36.235,96.235,1 LAP
45,10,7,1:34.036,94.036,1 LAP
45,11,88,1:36.537,96.537,2 LAPS
45,12,23,1:33.370,93.37,54.444
45,13,55,1:34.037,94.037,60.909
45,14,63,1:38.120,98.12,1 LAP
45,15,16,1:35.286,95.286,68.198
45,16,10,1:35.385,95.385,90.350
45,17,3,1:33.965,93.965,90.864
45,18,18,1:36.153,96.153,93.104
46,1,77,1:33.553,93.553,
46,2,27,1:36.985,96.985,1 LAP
46,3,5,1:32.646,92.646,10.067
46,4,44,1:31.635,91.635,10.945
46,5,11,1:32.747,92.747,1 LAP
46,6,4,1:34.480,94.48,1 LAP
46,7,26,1:34.418,94.418,1 LAP
46,8,8,1:36.187,96.187,1 LAP
46,9,99,1:36.801,96.801,1 LAP
46,10,7,1:34.771,94.771,1 LAP
46,11,20,1:37.950,97.95,1 LAP
46,12,88,1:36.332,96.332,2 LAPS
46,13,23,1:33.628,93.628,54.519
46,14,55,1:33.563,93.563,60.919
46,15,63,1:37.329,97.329,1 LAP
46,16,16,1:36.816,96.816,PIT
46,17,10,1:36.277,96.277,93.074
47,1,77,1:33.216,93.216,
47,2,3,1:36.782,96.782,1 LAP
47,3,18,1:36.587,96.587,1 LAP
47,4,27,1:35.391,95.391,1 LAP
47,5,5,1:32.772,92.772,9.623
47,6,44,1:32.329,92.329,10.058
47,7,11,1:32.621,92.621,1 LAP
47,8,4,1:34.957,94.957,1 LAP
47,9,26,1:34.369,94.369,1 LAP
47,10,8,1:35.946,95.946,1 LAP
47,11,99,1:36.193,96.193,1 LAP
47,12,7,1:33.876,93.876,1 LAP
47,13,20,1:36.827,96.827,1 LAP
47,14,23,1:33.210,93.21,54.513
47,15,88,1:37.866,97.866,2 LAPS
47,16,55,1:33.691,93.691,61.394
47,17,63,1:37.007,97.007,1 LAP
48,1,77,1:32.267,92.267,
48,2,16,1:55.048,115.048,1 LAP
48,3,10,1:36.946,96.946,1 LAP
48,4,3,1:36.151,96.151,1 LAP
48,5,27,1:34.921,94.921,1 LAP
48,6,18,1:36.928,96.928,1 LAP
48,7,5,1:32.830,92.83,10.186
48,8,44,1:33.065,93.065,10.856
48,9,11,1:32.846,92.846,1 LAP
48,10,26,1:33.239,93.239,1 LAP
48,11,4,1:36.011,96.011,1 LAP
48,12,8,1:36.308,96.308,1 LAP
48,13,99,1:36.533,96.533,1 LAP
48,14,7,1:34.226,94.226,1 LAP
48,15,20,1:38.974,98.974,PIT
48,16,23,1:33.397,93.397,55.643
48,17,55,1:34.362,94.362,63.489
48,18,88,1:37.730,97.73,2 LAPS
48,19,63,1:36.878,96.878,1 LAP
49,1,77,1:31.862,91.862,
49,2,16,1:31.611,91.611,1 LAP
49,3,3,1:33.481,93.481,1 LAP
49,4,10,1:36.578,96.578,1 LAP
49,5,27,1:35.990,95.99,1 LAP
49,6,5,1:33.637,93.637,11.961
49,7,44,1:33.510,93.51,12.504
49,8,18,1:37.765,97.765,1 LAP
49,9,11,1:33.455,93.455,1 LAP
49,10,26,1:33.692,93.692,1 LAP
49,11,4,1:34.997,94.997,1 LAP
49,12,8,1:36.219,96.219,1 LAP
49,13,7,1:34.808,94.808,1 LAP
49,14,99,1:38.143,98.143,1 LAP
49,15,23,1:33.505,93.505,57.286
49,16,55,1:34.029,94.029,65.656
49,17,88,1:37.510,97.51,2 LAPS
49,18,20,1:57.551,117.551,1 LAP
49,19,63,1:38.237,98.237,1 LAP
50,1,77,1:32.505,92.505,
50,2,16,1:33.305,93.305,1 LAP
50,3,3,1:34.563,94.563,1 LAP
50,4,10,1:36.791,96.791,1 LAP
50,5,5,1:34.660,94.66,14.116
50,6,44,1:34.357,94.357,14.356
50,7,27,1:37.445,97.445,1 LAP
50,8,11,1:33.950,93.95,1 LAP
50,9,18,1:37.212,97.212,1 LAP
50,10,26,1:33.655,93.655,1 LAP
50,11,4,1:34.895,94.895,1 LAP
50,12,8,1:36.751,96.751,1 LAP
50,13,7,1:36.254,96.254,1 LAP
50,14,99,1:39.419,99.419,PIT
50,15,23,1:33.609,93.609,58.390
50,16,55,1:34.097,94.097,67.248
50,17,88,1:37.062,97.062,2 LAPS
50,18,20,1:31.732,91.732,1 LAP
50,19,63,1:37.883,97.883,1 LAP
51,1,77,1:32.736,92.736,
51,2,16,1:34.190,94.19,1 LAP
51,3,3,1:34.178,94.178,1 LAP
51,4,5,1:32.526,92.526,13.906
51,5,44,1:32.943,92.943,14.563
51,6,10,1:38.157,98.157,1 LAP
51,7,27,1:37.154,97.154,1 LAP
51,8,11,1:35.361,95.361,1 LAP
51,9,18,1:36.892,96.892,1 LAP
51,10,26,1:33.712,93.712,1 LAP
51,11,4,1:35.040,95.04,1 LAP
51,12,7,1:33.190,93.19,1 LAP
51,13,8,1:37.287,97.287,1 LAP
51,14,23,1:33.312,93.312,58.966
51,15,55,1:33.955,93.955,68.467
51,16,99,1:54.240,114.24,1 LAP
51,17,20,1:33.807,93.807,1 LAP
51,18,88,1:38.753,98.753,2 LAPS
51,19,63,1:37.113,97.113,1 LAP
52,1,77,1:33.186,93.186,
52,2,16,1:35.133,95.133,1 LAP
52,3,3,1:34.009,94.009,1 LAP
52,4,5,1:32.623,92.623,13.343
52,5,44,1:32.481,92.481,13.858
52,6,10,1:37.266,97.266,1 LAP
52,7,11,1:36.894,96.894,1 LAP
52,8,27,1:37.792,97.792,1 LAP
52,9,18,1:37.482,97.482,1 LAP
52,10,26,1:34.005,94.005,1 LAP
52,11,4,1:35.210,95.21,1 LAP
52,12,7,1:33.724,93.724,1 LAP
52,13,8,1:36.815,96.815,1 LAP
52,14,23,1:33.757,93.757,59.537
52,15,55,1:33.820,93.82,69.101
52,16,99,1:32.369,92.369,1 LAP
52,17,20,1:33.223,93.223,1 LAP
52,18,88,1:37.889,97.889,2 LAPS
